ISO country code,Country name,2011 GDP,2010 population,Female count,Male count,Gold medals,Silver medals,Bronze medals
USA,US,1.5094E+13,309349000,271,260,46,29,29
CHN,China,7.2981E+12,1338300000,208,163,38,27,23
JPN,Japan,5.86715E+12,127451000,162,141,7,14,17
DEU,Germany,3.57056E+12,81777000,176,219,11,19,14
FRA,France,2.77303E+12,64895000,148,187,11,11,12
BRA,Brazil,2.47665E+12,194946000,128,138,3,5,9
GBR,UK,2.43159E+12,62232000,269,287,29,17,19
ITA,Italy,2.19475E+12,60483000,122,159,8,9,11
RUS,Russia,1.85777E+12,141750000,227,208,24,26,32
IND,India,1.84798E+12,1224615000,23,60,0,2,4
JAM,Jamaica,15069767442,2702000,25,25,4,4,4
GEO,Georgia,14366566609,4452000,6,29,1,3,3
PRK,North Korea,12280000000,24589122,40,15,4,0,2
ARM,Armenia,10247788877,3092000,4,21,0,1,2
MNG,Mongolia,8557529910,2756000,13,16,0,2,3
BHS,Bahamas,7787514000,343000,11,15,1,0,0
MDA,Moldova,7000318677,3562000,10,12,0,0,2
TJK,Tajikistan,6522200291,6879000,3,13,0,0,1
MNE,Montenegro,4550463278,632000,16,18,0,1,0
GRD,Grenada,816054092.2,104000,4,6,1,0,0